subject,section,traial,leftButton,rightButton,answer,leftTouched,rightTouched
1,1,1,1.5,1.25,3,5,10
1,1,2,1.5,1.375,4,3,5
1,1,3,1.5,2.125,2,1,5
1,1,4,1.5,1.625,4,3,2
1,1,5,1.5,1.875,3,2,4
1,1,6,1.5,2,2,1,2
1,1,7,1.5,2.25,1,2,2
1,1,8,1.5,1.125,6,3,7
1,1,9,1.5,1,6,1,2
1,1,10,1.5,1.5,4,2,4
1,1,11,1.5,1.75,4,2,4
1,2,12,1.125,1.125,4,2,5
1,2,13,1.125,1,6,2,2
1,2,14,1.125,1.375,4,1,5
1,2,15,1.125,2.125,1,1,1
1,2,16,1.125,2,1,1,1
1,2,17,1.125,1.625,3,1,2
1,2,18,1.125,1.5,3,1,2
1,2,19,1.125,1.75,2,1,2
1,2,20,1.125,1.875,2,1,2
1,2,21,1.125,2.25,1,1,1
1,2,22,1.125,1.25,3,1,1
1,3,23,1.375,1.625,2,4,7
1,3,24,1.375,2.125,1,1,2
1,3,25,1.375,1.375,4,2,3
1,3,26,1.375,1.5,3,2,3
1,3,27,1.375,2,1,2,3
1,3,28,1.375,1.75,2,2,2
1,3,29,1.375,1.25,5,3,3
1,3,30,1.375,1,6,2,4
1,3,31,1.375,1.875,2,2,2
1,3,32,1.375,2.25,1,2,3
1,3,33,1.375,1.125,5,1,2
1,4,34,2.125,2.25,4,4,6
1,4,35,2.125,1.625,2,1,4
1,4,36,2.125,1.825,3,1,2
1,4,37,2.125,1.75,3,2,3
1,4,38,2.125,1.5,2,2,2
1,4,39,2.125,2,4,1,2
1,4,40,2.125,1,1,2,3
1,4,41,2.125,1.25,1,2,3
1,4,42,2.125,1.375,1,1,2
1,4,43,2.125,2.125,4,3,4
1,4,44,2.125,1.125,1,1,1
1,5,45,1.75,1.125,2,4,4
1,5,46,1.75,1.375,3,1,1
1,5,47,1.75,1,1,1,1
1,5,48,1.75,2.125,6,1,2
1,5,49,1.75,1.875,5,2,4
1,5,50,1.75,1.625,5,2,5
1,5,51,1.75,1.5,3,2,4
1,5,52,1.75,1.25,1,1,2
1,5,53,1.75,2.25,7,2,3
1,5,54,1.75,1.75,4,2,3
1,5,55,1.75,2,6,3,5
1,6,56,2,2.25,5,3,9
1,6,57,2,1.25,1,4,5
1,6,58,2,1.875,5,3,4
1,6,59,2,1,7,2,2
1,6,60,2,1.625,5,1,3
1,6,61,2,1.375,6,2,3
1,6,62,2,1.75,5,2,3
1,6,63,2,1.5,5,2,4
1,6,64,2,2,4,3,3
1,6,65,2,2.125,3,3,3
1,6,66,2,1.125,7,4,5
1,7,67,2.25,1.875,5,2,2
1,7,68,2.25,1.625,6,1,3
1,7,69,2.25,1.75,4,2,5
1,7,70,2.25,2,5,2,2
1,7,71,2.25,2.125,4,6,7
1,7,72,2.25,1.125,7,1,3
1,7,73,2.25,1,7,2,2
1,7,74,2.25,2.25,4,2,4
1,7,75,2.25,1.375,6,2,3
1,7,76,2.25,1.25,6,2,3
1,7,77,2.25,1.5,6,1,7
1,8,78,1.875,1.25,6,1,1
1,8,79,1.875,1,7,2,1
1,8,80,1.875,1.625,5,1,2
1,8,81,1.875,2,3,2,2
1,8,82,1.875,1.5,5,3,7
1,8,83,1.875,1.75,4,1,4
1,8,84,1.875,2.25,1,2,3
1,8,85,1.875,1.875,2,3,3
1,8,86,1.875,1.375,6,5,5
1,8,87,1.875,2.125,2,1,2
1,8,88,1.875,1.125,6,2,3
1,9,89,1.25,1,6,3,5
1,9,90,1.25,2.125,1,1,2
1,9,91,1.25,2.25,1,2,2
1,9,92,1.25,1.375,4,3,3
1,9,93,1.25,1.875,2,2,3
1,9,94,1.25,1.125,5,2,3
1,9,95,1.25,2,1,4,4
1,9,96,1.25,1.25,4,2,3
1,9,97,1.25,1.5,3,3,6
