subject,section,traial,left,right,answer,base data
1,1,1,4,4,5,1
1,1,2,4,2,5,1
1,1,3,4,6,2,-2
1,1,4,4,1,5,1
1,1,5,4,7,6,2
1,1,6,4,9,7,3
1,1,7,4,0,5,1
1,1,8,4,5,5,1
1,1,9,4,8,7,3
1,1,10,4,3,4,0
1,1,11,4,10,7,3
1,2,12,8,10,5,1
1,2,13,8,0,4,0
1,2,14,8,6,3,-1
1,2,15,8,9,4,0
1,2,16,8,5,2,-2
1,2,17,8,3,1,-3
1,2,18,8,1,4,0
1,2,19,8,2,5,1
1,2,20,8,8,4,0
1,2,21,8,4,3,-1
1,2,22,8,7,3,-1
1,3,23,0,4,3,-1
1,3,24,0,10,7,3
1,3,25,0,6,5,1
1,3,26,0,3,4,0
1,3,27,0,1,4,0
1,3,28,0,2,4,0
1,3,29,0,5,5,1
1,3,30,0,9,7,3
1,3,31,0,8,6,2
1,3,32,0,0,4,0
1,3,33,0,7,6,2
1,4,34,2,4,3,-1
1,4,35,2,10,7,3
1,4,36,2,6,5,1
1,4,37,2,3,4,0
1,4,38,2,1,4,0
1,4,39,2,2,4,0
1,4,40,2,5,5,1
1,4,41,2,9,7,3
1,4,42,2,8,7,3
1,4,43,2,0,3,-1
1,4,44,2,7,6,2
1,5,45,6,1,3,-1
1,5,46,6,0,3,-1
1,5,47,6,2,3,-1
1,5,48,6,8,5,1
1,5,49,6,9,6,2
1,5,50,6,10,7,3
1,5,51,6,7,4,0
1,5,52,6,5,3,-1
1,5,53,6,4,3,-1
1,5,54,6,6,5,1
1,5,55,6,3,3,-1
1,6,56,10,6,3,-1
1,6,57,10,8,3,-1
1,6,58,10,7,3,-1
1,6,59,10,0,6,2
1,6,60,10,9,4,0
1,6,61,10,2,2,-2
1,6,62,10,10,4,0
1,6,63,10,3,2,-2
1,6,64,10,5,3,-1
1,6,65,10,1,2,-2
1,6,66,10,4,2,-2
2,1,1,6,10,4,0
2,1,2,6,4,6,2
2,1,3,6,1,6,2
2,1,4,6,6,4,0
2,1,5,6,0,6,2
2,1,6,6,7,5,1
2,1,7,6,8,4,0
2,1,8,6,5,6,2
2,1,9,6,9,2,-2
2,1,10,6,2,6,2
2,1,11,6,3,6,2
2,2,12,0,6,2,-2
2,2,13,0,2,4,0
2,2,14,0,4,2,-2
2,2,15,0,10,2,-2
2,2,16,0,5,3,-1
2,2,17,0,1,4,0
2,2,18,0,7,1,-3
2,2,19,0,0,4,0
2,2,20,0,8,2,-2
2,2,21,0,9,1,-3
2,2,22,0,3,4,0
2,3,23,10,6,6,2
2,3,24,10,5,6,2
2,3,25,10,4,6,2
2,3,26,10,1,6,2
2,3,27,10,9,4,0
2,3,28,10,2,6,2
2,3,29,10,8,5,1
2,3,30,10,7,5,1
2,3,31,10,3,5,1
2,3,32,10,0,6,2
2,3,33,10,10,4,0
2,4,34,2,7,2,-2
2,4,35,2,4,4,0
2,4,36,2,2,4,0
2,4,37,2,8,1,-3
2,4,38,2,0,4,0
2,4,39,2,3,4,0
2,4,40,2,6,3,-1
2,4,41,2,5,3,-1
2,4,42,2,1,4,0
2,4,43,2,9,3,-1
2,4,44,2,10,1,-3
2,5,45,4,9,2,-2
2,5,46,4,1,7,3
2,5,47,4,6,4,0
2,5,48,4,5,4,0
2,5,49,4,7,2,-2
2,5,50,4,8,2,-2
2,5,51,4,10,1,-3
2,5,52,4,2,5,1
2,5,53,4,3,5,1
2,5,54,4,0,5,1
2,5,55,4,4,4,0
2,6,56,8,2,6,2
2,6,57,8,8,5,1
2,6,58,8,1,7,3
2,6,59,8,3,6,2
2,6,60,8,7,5,1
2,6,61,8,4,7,3
2,6,62,8,6,6,2
2,6,63,8,0,6,2
2,6,64,8,10,4,0
2,6,65,8,9,4,0
,,66,8,5,6,2
